customer_id,first_name,last_name,email,phone,signup_date,country,preferred_channel
1,Denise,Walker,jpeterson@gmail.com,311-661-5594x07816,2026-01-18,VN,branch
2,Michael,Williams,amandasanchez@yahoo.com,783-550-3056x413,2026-03-01,SB,mobile
3,Marvin,Thomas,jrice@gmail.com,001-418-345-1462x7048,2026-01-13,KG,mobile
4,Pamela,Ryan,ibrandt@hotmail.com,546.357.8713,2024-10-24,AO,branch
5,Adrienne,Zimmerman,clintonhopkins@yahoo.com,(870)410-6513x33872,2024-07-23,PL,web
6,Angela,Morton,rodney87@gmail.com,430-298-0500x9788,2025-07-14,BR,mobile
7,Andrea,Hensley,stephen10@yahoo.com,001-311-583-8425,2024-12-12,JM,mobile
8,Kimberly,Turner,prestonjulia@gmail.com,293-253-4874x0164,2024-10-17,CO,mobile
9,Jeremy,Thornton,evelynestrada@yahoo.com,+1-469-723-2260,2025-02-15,SV,branch
10,Rachel,Rodriguez,wileyjose@hotmail.com,3198655698,2025-10-29,ET,mobile
11,Jeffrey,Meyer,christinaturner@hotmail.com,9449369957,2026-04-01,GH,branch
12,Tyler,Fitzgerald,psnyder@gmail.com,001-901-463-2870x831,2025-05-08,TL,branch
13,Steven,Salazar,jimmy55@hotmail.com,(723)962-3166,2025-02-21,BH,branch
14,Jean,Carrillo,dramsey@gmail.com,+1-906-499-0162,2023-08-04,IL,mobile
15,Jesse,Rogers,johnwells@gmail.com,674.352.9912,2025-11-01,AR,branch
16,Terry,Brooks,xgarcia@hotmail.com,626.728.4987x769,2024-06-02,BT,web
17,David,Marshall,jenniferfreeman@gmail.com,777.801.4363x4957,2025-09-18,LS,mobile
18,Devin,King,ericksondavid@gmail.com,+1-942-971-0947,2024-10-28,ER,mobile
19,Shannon,Wilson,michelle64@hotmail.com,4913334123,2024-01-16,AD,mobile
20,Kirk,Carter,brownlaura@hotmail.com,001-947-917-4648,2023-09-19,US,mobile
21,Morgan,Munoz,ecosta@yahoo.com,651-725-6746x80715,2023-11-14,NA,mobile
22,Kimberly,Gutierrez,walkermaureen@gmail.com,527-948-4677,2025-09-20,CY,branch
23,Kyle,Francis,ugibson@gmail.com,896.436.0576,2025-06-25,AZ,branch
24,Leslie,Kane,cbrennan@hotmail.com,643.216.1172,2023-07-28,LR,mobile
25,Jade,Thomas,erica21@yahoo.com,001-346-547-4367,2024-12-30,TO,branch
26,Willie,Phillips,parkerscott@hotmail.com,001-621-445-6232x8588,2024-06-20,RO,mobile
27,George,Wilson,thomasharvey@hotmail.com,+1-331-374-6120x047,2024-05-16,SO,branch
28,Jacqueline,Avery,amy50@yahoo.com,517.413.9005,2025-10-11,GA,branch
29,Kristen,Willis,alexistyler@gmail.com,302-940-2681x17758,2025-07-08,GN,branch
30,Susan,Hopkins,martinezclaudia@hotmail.com,001-556-898-4789x611,2025-04-18,GT,branch
31,Jesse,Perry,elizabeth65@hotmail.com,(704)794-5198x32731,2023-11-12,IT,web
32,Sarah,Villegas,nicholaschavez@gmail.com,859-991-0229x0147,2025-12-16,PA,mobile
33,Paul,Wilson,jimenezryan@gmail.com,+1-238-985-1606,2023-09-15,KW,web
34,Michael,Butler,dixondaniel@hotmail.com,001-955-923-1243x29212,2025-10-09,PS,branch
35,Stephen,Day,jford@hotmail.com,393.459.7820x715,2023-07-17,HU,web
36,Joseph,MD,tanderson@gmail.com,+1-265-728-1685,2024-09-08,EG,mobile
37,Pamela,Lee,tarabishop@hotmail.com,838.834.7359x774,2024-01-24,FR,mobile
38,Amy,Castillo,jeffrey51@hotmail.com,522-404-7277x90104,2025-09-16,ZA,branch
39,Dwayne,Turner,qlopez@gmail.com,(718)688-8806x706,2023-06-12,MK,web
40,Morgan,Fuller,stewartkyle@yahoo.com,+1-674-303-4505,2024-12-09,NZ,web
41,Steven,Hughes,curtis54@yahoo.com,+1-362-875-7059x640,2024-12-02,SG,web
42,Brenda,Lawson,john10@hotmail.com,386.481.4473x9473,2023-09-10,PG,mobile
43,Jill,Miller,jonesraymond@hotmail.com,486.469.1251x7785,2023-12-04,NR,mobile
44,Kelly,Torres,megan90@gmail.com,6946396907,2025-06-06,HN,web
45,Benjamin,Brown,donaldwilliams@yahoo.com,(232)359-5327x87747,2025-01-17,SD,mobile
46,Mr.,Williams,charles87@hotmail.com,+1-891-221-6558x523,2023-07-27,AZ,mobile
47,Regina,Stone,tammy99@gmail.com,2973289623,2024-03-09,AM,web
48,Christian,Vaughn,stevepatel@hotmail.com,+1-749-973-3484x34437,2024-11-09,TJ,mobile
49,Kenneth,Daniels,danawilliams@yahoo.com,001-771-620-8267x734,2026-02-14,BH,web
50,Crystal,Rodgers,melissamcdonald@gmail.com,552-474-2054,2025-12-22,DZ,web
51,Jose,Miller,marshallerik@hotmail.com,001-741-845-9332x727,2026-05-12,SY,branch
52,Robert,Petersen,jenniferburns@hotmail.com,9726867908,2023-06-20,MY,web
53,Patrick,Lane,qmiller@hotmail.com,+1-851-828-6823x0047,2024-05-08,HU,mobile
54,Donald,Pineda,karenparsons@gmail.com,639-659-9534x2836,2023-08-20,TH,branch
55,Jessica,Simpson,nsanchez@yahoo.com,275-318-3046,2024-03-05,PS,web
56,Sheila,Cook,ugill@gmail.com,560-793-2048x99642,2024-05-09,MU,branch
57,Mary,Cohen,albertwagner@yahoo.com,+1-697-670-0886x008,2023-06-13,SC,mobile
58,Theodore,Rodriguez,warnerchristopher@yahoo.com,291-480-3397x40148,2024-09-17,AM,web
59,Nicole,Marquez,ehall@yahoo.com,001-499-865-0477x35866,2023-09-28,VN,mobile
60,Micheal,Miller,fgarcia@yahoo.com,399-556-0466,2025-10-22,SK,branch
61,Caroline,Adams,vbrock@yahoo.com,(592)745-9375x26547,2024-12-22,IT,web
62,Timothy,Gonzalez,marie16@hotmail.com,(943)842-6617,2025-08-25,SD,branch
63,Richard,Ward,seanmyers@hotmail.com,001-782-650-7146x112,2024-10-31,PH,branch
64,Hannah,Davis,jacobsandoval@yahoo.com,001-393-479-6603x3419,2024-12-06,LR,web
65,Deborah,Huffman,kcarlson@yahoo.com,(478)728-2742,2025-04-17,VN,branch
66,Tiffany,Washington,hdunn@hotmail.com,285-980-7836x134,2024-06-29,MG,mobile
67,Wendy,Rowe,taylorkaren@yahoo.com,822-832-5367x294,2025-04-19,BO,branch
68,Nicole,Neal,amy29@yahoo.com,600-417-0127x70632,2024-07-16,BW,mobile
69,Jacob,Mckee,lisa62@yahoo.com,861.411.5542,2026-02-07,GD,mobile
70,Kristine,Bishop,joshuamiller@hotmail.com,+1-294-504-3898x364,2025-06-24,MV,branch
71,Margaret,Jones,fmiles@hotmail.com,+1-492-741-4183,2025-01-13,TZ,mobile
72,Jessica,Ashley,karamarks@hotmail.com,001-205-964-8149x17785,2025-10-14,DM,web
73,Raymond,Shannon,robertcortez@yahoo.com,295-818-0238,2023-09-02,PT,mobile
74,Eric,Miller,tapiaaaron@hotmail.com,001-541-838-3670x2410,2026-05-10,MR,mobile
75,Mr.,Anderson,martinsteven@yahoo.com,+1-453-674-7411,2026-05-16,MC,mobile
76,Selena,Hernandez,aguilarjonathan@gmail.com,237-421-5107,2025-10-25,NR,web
77,James,Simmons,zgonzalez@hotmail.com,+1-680-465-7875x9856,2023-06-27,LB,web
78,Rita,Campbell,linda59@gmail.com,001-259-392-9378x427,2023-08-13,HT,web
79,Karen,Rivera,lbanks@hotmail.com,001-895-239-2644x220,2024-02-24,UY,branch
80,Walter,Walker,williamssamuel@yahoo.com,(676)258-6179x32710,2024-09-24,IL,web
81,Carolyn,Bennett,longandrea@yahoo.com,3502614973,2024-04-03,DO,mobile
82,John,DDS,lindsey69@gmail.com,6683687937,2025-01-20,LC,web
83,Stephanie,Mcbride,millerangela@hotmail.com,387-309-9861x622,2025-10-08,BZ,web
84,Spencer,Humphrey,andrew44@yahoo.com,513.824.7546x9137,2025-06-08,PS,mobile
85,Jose,Moore,hreid@hotmail.com,757.797.2798,2024-01-27,IL,branch
86,Jasmine,Martin,rodney65@yahoo.com,774.689.6910,2024-08-23,LA,web
87,Gabrielle,Hill,matthewreeves@hotmail.com,+1-475-784-2824x1724,2026-02-27,BT,branch
88,Natasha,Parker,pittsedward@gmail.com,(697)525-2175x25007,2024-02-03,TR,branch
89,Pamela,Miller,reyesbrianna@gmail.com,4447789856,2025-06-17,MK,branch
90,Susan,Burnett,wheelerbrandon@gmail.com,9014676184,2024-04-01,MD,mobile
91,Mary,Bates,michaelortiz@gmail.com,+1-373-975-3001,2024-01-04,BW,branch
92,Ashley,Scott,rfriedman@hotmail.com,(352)416-6746x762,2026-05-03,RS,branch
93,Sarah,DVM,tiffanysantiago@yahoo.com,991.963.7562x89002,2024-01-29,BO,mobile
94,Gary,Ramirez,jjohnson@gmail.com,799-248-8375,2024-04-28,PH,branch
95,Manuel,Kennedy,nrodriguez@gmail.com,363-973-5160,2025-04-27,KM,branch
96,Mrs.,Tran,mbarnes@hotmail.com,646.754.7226,2025-09-23,ZM,mobile
97,Lori,Roberts,gonzalezkaren@gmail.com,+1-842-504-3805x71983,2025-07-19,MC,mobile
98,Anthony,James,rthompson@gmail.com,(481)460-6484,2025-11-10,IE,web
99,Michelle,Moore,mark43@hotmail.com,380.815.7399x3056,2024-06-19,SR,web
100,Jose,Townsend,clarkcrystal@gmail.com,(413)686-1207x50110,2025-09-30,BN,web
101,Jennifer,Hayes,catherine47@yahoo.com,+1-407-328-3268x42450,2023-07-21,AF,branch
102,Travis,Torres,robertscarlos@gmail.com,001-997-955-2314x9135,2024-10-09,VE,branch
103,Christian,Knight,larnold@hotmail.com,242-883-4110,2025-11-19,GH,branch
104,Kimberly,Lutz,seanwhite@hotmail.com,(775)503-7314,2023-07-23,SV,mobile
